#kod_pkd#opis#predict_PKD
13#2331#firma zajmuje się produkcja ceramicznych płytek minimalistycznych#Kod PKD: 2342|Kod PKD: 2331|Kod PKD: 2331
14#1089#inwestuj w nieruchomości lub firmy posiadające nieruchomości i wszystko z tym związane.#Kod PKD: 1089|Kod PKD: 2361|Kod PKD: 1082
15#2910#produkcją pojazdów silnikowych ciężarowych.#Kod PKD: 2910|Kod PKD: 2910|Kod PKD: 2910
16#2620#rozwój i produkcja sprzętu komputerowego.#Kod PKD: 2620|Kod PKD: 2620|Kod PKD: 3100
17#2420#firma zajmuje się kuciem stalowych rur bez szwu w celu uzyskania łączników doczołowych.#Kod PKD: 2420|Kod PKD: 2420|Kod PKD: 2420
18#1626#firma zajmuje się produkcja kłód z ścinków drewnianych#Kod PKD: 1626|Kod PKD: 1626|Kod PKD: 1626
19#2897#firma zajmuje się produkcją maszyn do wytwarzania przyrostowego w technologii binder jetting.#Kod PKD: 2897|Kod PKD: 2897|Kod PKD: 2897
20#2612#produkcją zmontowanych obwodów do sterowników plc.#Kod PKD: 2612|Kod PKD: 2612|Kod PKD: 2612
21#2899#produkcja specjalnych maszyn i urządzeń do ingerencji w linie sterujące.#Kod PKD: 2899|Kod PKD: 2651|Kod PKD: 2894
22#2041#produkcja mydła na małą skalę. sprzedaż domowego mydła za pośrednictwem mediów społecznościowych, targów i stoisk.#Kod PKD: 2041|Kod PKD: 2041|Kod PKD: 2041
23#3299#rozwój systemów w branży szkła, stali i aluminium, import i sprzedaż towarów w branży szkła, stali i aluminium dla hurtowni i detalistów, usługi i biznes z tym związany.#Kod PKD: 2512|Kod PKD: 2511|Kod PKD: 1623
24#1103#firma zajmuje się fermentacją i tworzeniem perry premium#Kod PKD: 1103|Kod PKD: 1103|Kod PKD: 1103
25#1039#produkcja żywności, owoców i warzyw.#Kod PKD: 2893|Kod PKD: 1105|Kod PKD: 1071
26#2366#firma zajmuje się produkcja wazonów i donic z betonu komórkowego#Kod PKD: 2366|Kod PKD: 2366|Kod PKD: 2366
27#2910#produkcją samochodów hybrydowych plug-in.#Kod PKD: 2910|Kod PKD: 2910|Kod PKD: 2910
28#1102#firma zajmuje się produkcja win wegańskich#Kod PKD: 1042|Kod PKD: 1073|Kod PKD: 1103
29#1330#produkcja znaków transferowych (htl) do profilowania tekstyliów przy użyciu sitodruku lub podobnych platform produkcyjnych. import i eksport maszyn, chemikaliów, surowców i urządzeń związanych z produkcją lub handlem etykietami i znakami transferowymi.#Kod PKD: 1399|Kod PKD: 1330|Kod PKD: 1330
30#1071#główna piekarnia cukiernia dla firm blog kontakt wypieki piekarnia we wrocławiu chleby • bułki • rogale w sercu wrocławia prowadzimy piekarnię, która od lat dostarcza mieszkańcom miasta świeże i aromatyczne wypieki. każdy nasz produkt powstaje z najwyższej jakości składników, co gwarantuje niepowtarzalny smak i aromat. oferujemy szeroki wybór pieczywa, w tym chleby, bułki oraz kanapki. czytaj więcej słodkości cukiernia we wrocławiu torty • ciasta • ciasteczka specjalizujemy się w tworzeniu wyjąt#Kod PKD: 1071|Kod PKD: 1071|Kod PKD: 1071
31#2790#produkcją ultradźwiękowych urządzeń czyszczących (z wyłączeniem laboratoryjnych i dentystycznych).#Kod PKD: 3250|Kod PKD: 2790|Kod PKD: 2790
32#2352#firma zajmuje się produkcja gipsu ogniotrwałego#Kod PKD: 2362|Kod PKD: 2352|Kod PKD: 2352
33#2511#produkcja wyrobów metalowych.#Kod PKD: 2452|Kod PKD: 2511|Kod PKD: 2599
34#2651#produkcją przepływomierzy do cieczy.#Kod PKD: 2651|Kod PKD: 2651|Kod PKD: 2813
35#2620#produkcją dysków ssd.#Kod PKD: 2620|Kod PKD: 3230|Kod PKD: 2620
36#2011#inwestuj w strategiczne spółki powiązane z łańcuchem wartości w zakresie wodoru odnawialnego. może to dotyczyć energetyki odnawialnej, instalacji elektrolizy, magazynów, instalacji dystrybucyjnych i rozlewniczych, a także technologii i usług związanych z#Kod PKD: 2011|Kod PKD: 2011|Kod PKD: 2711
37#2611#usługi zarządu: usługi produkcyjne, usługowe i doradcze. kupno i sprzedaż majątku i udziałów.#Kod PKD: 1813|Kod PKD: 3012|Kod PKD: 2920
38#2599#produkcja i montaż wyrobów metalowych.#Kod PKD: 2599|Kod PKD: 2512|Kod PKD: 2599
39#2399#produkcją wermikulitu porowatego do wypełnień izolacyjnych.#Kod PKD: 2399|Kod PKD: 2399|Kod PKD: 2399
40#1410#produkcja i sprzedaż odzieży dzianej, wzorów dziewiarskich i książek dziewiarskich. odsprzedaż przędzy, opakowań dziewiarskich, akcesoriów dziewiarskich i krawieckich oraz towarów naturalnie powiązanych.#Kod PKD: 1410|Kod PKD: 1413|Kod PKD: 1439
41#2370#produkcją kamiennych elementów do budowy basenów#Kod PKD: 2370|Kod PKD: 2370|Kod PKD: 2370
42#2391#wytwarzaniem osełek do ostrzenia noży kuchennych.#Kod PKD: 2391|Kod PKD: 2391|Kod PKD: 2391
43#1920#mieszaniem produktów ropopochodnych w nowe mieszanki#Kod PKD: 1920|Kod PKD: 1920|Kod PKD: 1920
44#1104#tworzeniem mieszanych win aromatyzowanych#Kod PKD: 1104|Kod PKD: 1104|Kod PKD: 1104
45#1061#manage consent to provide the best experiences, we use technologies like cookies to store and/or access device information. consenting to these technologies will allow us to process data such as browsing behavior or unique ids on this site. not consenting or withdrawing consent, may adversely affect certain features and functions. manage services accept deny view preferences cookie policy privacy statement skip to content home about cookiedatabase.org contact search understanding tracking with c#Kod PKD: 2670|Kod PKD: 3299|Kod PKD: 3102
46#1012#produkcja mięsa drobiowego z drobiu hodowlanego#Kod PKD: 1012|Kod PKD: 1012|Kod PKD: 1012
47#2612#firma zajmuje się produkcją kart interfejsu do sprzętu laboratoryjnego.#Kod PKD: 2612|Kod PKD: 2612|Kod PKD: 2612
48#1812#branża: reklama zewnętrzna | produkty: tablice, bannery, oklejanie pojazdów, stojaki, flagi, kasetony, litery 3d, fototapety, gadżety reklamowe (odzież, kubki, smycze, długopisy, słodycze, ballony, grawertony, naklejki 3d), pieczęć, ksero, oprawa | usługi: projektowanie graficzne, dtp, skład graficzny materiałów, druk, reklama zewnętrzna#Kod PKD: 1812|Kod PKD: 1413|Kod PKD: 1812
49#3100#produkcją gablot (wystawowych, muzealnych).#Kod PKD: 3100|Kod PKD: 3100|Kod PKD: 3100
50#1105#produkcja piwa premium#Kod PKD: 1104|Kod PKD: 1073|Kod PKD: 1107
51#1628#firma zajmuje się produkcja skrzynek na wino z drewna#Kod PKD: 1628|Kod PKD: 1624|Kod PKD: 1628
52#1628#firma zajmuje się wykonywaniem unikalnych artykułów drewnianych do wnętrz#Kod PKD: 1628|Kod PKD: 1628|Kod PKD: 1627
53#1399#firma zajmuje się produkcja dekoracyjnych sznurowadeł#Kod PKD: 1399|Kod PKD: 1399|Kod PKD: 1399
54#1101#firma zajmuje się wytwarzaniem napojów spirytusowych wysokiej jakości#Kod PKD: 1101|Kod PKD: 1101|Kod PKD: 1101
55#2222#produkcja plastikowych misek i tacek cateringowych#Kod PKD: 2222|Kod PKD: 2222|Kod PKD: 2222
56#2562#firma zajmuje się produkcją metalowych opraw do osłon.#Kod PKD: 2223|Kod PKD: 2562|Kod PKD: 1396
57#1625#produkcja i sprzedaż wyrobów z drewna i artykułów budowlanych oraz wszystkiego co z tym związane.#Kod PKD: 1625|Kod PKD: 1625|Kod PKD: 1623
58#2223#produkcja drzwi przesuwnych z plastiku#Kod PKD: 2223|Kod PKD: 2223|Kod PKD: 2223
59#2521#firma zajmuje się produkcją kotłów wytwarzających parę do destylacji.#Kod PKD: 2521|Kod PKD: 2521|Kod PKD: 2521
60#2059#celem firmy jest prowadzenie produkcji i sprzedaży oleju omega-3 epa/dha hurtem w segmencie b2b oraz inne sprawy z tym związane.#Kod PKD: 1041|Kod PKD: 1041|Kod PKD: 1041
61#1626#firma zajmuje się przetwarzaniem biomasy w postaci zrębków na brykiety#Kod PKD: 1626|Kod PKD: 1626|Kod PKD: 1626
62#1423#produkcja odzieży roboczej dla elektryków#Kod PKD: 1423|Kod PKD: 1423|Kod PKD: 1423
63#1020#pakowaniem mrożonych dorszy#Kod PKD: 1020|Kod PKD: 1020|Kod PKD: 1020
64#1012#firma zajmuje się pakowaniem mięsa w chłodni próżniowej#Kod PKD: 1012|Kod PKD: 1012|Kod PKD: 2222
65#1421#produkcja/sprzedaż kostiumów imprezowych rosslyngstakken i niektóre kursy hobbystyczne.#Kod PKD: 1421|Kod PKD: 1413|Kod PKD: 1413
66#1724#firma zajmuje się wytwarzaniem tapet winylowych papierowych do łazienek#Kod PKD: 1724|Kod PKD: 1724|Kod PKD: 1724
67#1724#produkcja tapet na bazie papieru z recyklingu#Kod PKD: 1724|Kod PKD: 1724|Kod PKD: 1724
68#1812#produkcja, handel i sprzedaż wyrobów profilowanych. marketing jeden do jednego. produkcja i sprzedaż materiałów reklamowych.#Kod PKD: 1330|Kod PKD: 1812|Kod PKD: 1812
69#1039#produkcja produktów z orzechów do przemysłu spożywczego#Kod PKD: 1082|Kod PKD: 1082|Kod PKD: 1039
70#1012#produkcja mięsa drobiowego – zakłady przetwórstwa mięsnego#Kod PKD: 1012|Kod PKD: 1012|Kod PKD: 1012
71#1419#rzemiosło: szyj i sprzedawaj ręcznie robione kapelusze i podobne przedmioty.#Kod PKD: 1629|Kod PKD: 1419|Kod PKD: 1330
72#1073#produkcja kuskusu detaliczną#Kod PKD: 1073|Kod PKD: 1073|Kod PKD: 1073
73#2226#produkcja plastikowych ozdóbek świątecznych#Kod PKD: 2226|Kod PKD: 2226|Kod PKD: 2226
74#2365#firma zajmuje się produkcja płyt cementowych na poddasze#Kod PKD: 2365|Kod PKD: 2370|Kod PKD: 2351
75#2640#firma zajmuje się produkcją wzmacniaczy dla systemów nagłaśniających.#Kod PKD: 2640|Kod PKD: 2640|Kod PKD: 2640
76#2433#produkcją profili otwartych formowanych na zimno ze stali wysokowytrzymałej.#Kod PKD: 2433|Kod PKD: 2433|Kod PKD: 2433
77#2712#firma zajmuje się produkcją ochronników przepięciowych do sieci zasilających.#Kod PKD: 2790|Kod PKD: 2712|Kod PKD: 2712
78#1071#handel i inwestycje w nieruchomości, papiery wartościowe i inne aktywa.#Kod PKD: 2740|Kod PKD: 2651|Kod PKD: 2311
79#1105#firma zajmuje się produkcja piwa lager kraftowego#Kod PKD: 1105|Kod PKD: 1105|Kod PKD: 1105
80#2225#firma zajmuje się regeneracją elementów z tworzyw poprzez obróbkę#Kod PKD: 2225|Kod PKD: 2225|Kod PKD: 2211
81#1071#prowadzenie działalności piekarniczo-kawiarniowej.#Kod PKD: 1071|Kod PKD: 1071|Kod PKD: 1071
82#1392#doradztwo, zakup i produkcja zasłon i akcesoriów do zasłon oraz poduszek i akcesoriów do łóżek oraz innych miękkich artykułów dla domu i domu wraz z pracami montażowymi.#Kod PKD: 1392|Kod PKD: 1392|Kod PKD: 1392
83#1811#drukowaniem codziennych dodatków telewizyjnych#Kod PKD: 1811|Kod PKD: 1811|Kod PKD: 1811
84#1628#wytwarzaniem artystycznych wyrobów koszykarskich#Kod PKD: 1628|Kod PKD: 1410|Kod PKD: 1399
85#2120#firma zajmuje się produkcja leków weterynaryjnych dla hodowli#Kod PKD: 2120|Kod PKD: 2120|Kod PKD: 2120
86#1410#produkcja i sprzedaż odzieży oraz elementów portfolio.#Kod PKD: 1413|Kod PKD: 1413|Kod PKD: 1412
87#2454#odlewnictwem pozostałych metali nieżelaznych dla hydrauliki.#Kod PKD: 2454|Kod PKD: 2454|Kod PKD: 2454
88#2223#branża: inżynieria środowiska | produkty: oczyszczalnie wody i ścieków, przepompownie wody i ścieków, separattory ropopochodnych, separatsory tłuszczu, osadniki, komory drenażowe, klapa zwrotna, zbiorniki – retencja i magzazynowanie, zbiorniki ppoż, neutr#Kod PKD: 2223|Kod PKD: 2829|Kod PKD: 1330
89#3011#produkcją statków do przewozu kontenerów.#Kod PKD: 3011|Kod PKD: 2920|Kod PKD: 3011
90#2444#produkcją nieobrobionej plastycznie miedzi niestopowej z rud.#Kod PKD: 2444|Kod PKD: 2443|Kod PKD: 2441
91#2842#produkcją podzielnic do obrabiarek.#Kod PKD: 2842|Kod PKD: 2841|Kod PKD: 2841
92#1626#firma zajmuje się tworzeniem brykietów opałowych z trocin#Kod PKD: 1626|Kod PKD: 1626|Kod PKD: 1626
93#1814#przygotowaniem materiałów drukowanych do dystrybucji#Kod PKD: 1814|Kod PKD: 1813|Kod PKD: 1104
94#1820#replikacją płyt dvd z oprogramowaniem#Kod PKD: 1820|Kod PKD: 1820|Kod PKD: 1820
95#1071#produkcja i sprzedaż ciast, babeczek i innych słodkości z własnej, prywatnej kuchni.#Kod PKD: 1071|Kod PKD: 1071|Kod PKD: 1071
96#1610#cięcie drewna przenośną piłą taśmową.#Kod PKD: 1624|Kod PKD: 1610|Kod PKD: 1610
97#1320#firma zajmuje się produkcja tkanin obiciowych designerskich#Kod PKD: 1320|Kod PKD: 1320|Kod PKD: 1392
98#2434#firma zajmuje się produkcją drutu stalowego do produkcji drutów kolczastych.#Kod PKD: 2593|Kod PKD: 2434|Kod PKD: 2593
99#2212#działalność produkcyjna, importowa, eksportowa, handlowa, agencyjna i co z niej wynika, a także udział w innych spółkach.#Kod PKD: 3299|Kod PKD: 1813|Kod PKD: 3100
