Name;PKD_2007;PKD_2007_all;description_PL;description_EN;source
METALSPRZĘT;2599;2599;"Network Error Network Error (dns_unresolved_hostname) Your requested host ""mtiaero.plindex.html"" could not be resolved by DNS. Transaction ID: dda8f52db913fa30-0000000257312ac0-0000000068dbb64d For assistance, contact your network support team.";NULL;BJS_OPIS_01 10 2025_PKD
EKSPRES PACKAGING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1721;1721;Branża: Opakowania | Produkty: Tektura lite, Tektura falista, Druk na laminacie, Lakiery efektowe, Hot stamping, Tłoczenia | Usługi: Produkcja opakowań z tektury litej i falistej | --- | Branża: Drukarstwo | Produkty: Brak | Usługi: Brak | --- | Branża: Marketing i reklama | Produkty: Brak | Usługi: Brak | Opis: Firma zajmuje się realizcją prawnie uzasadnionego interesu Administratora polegającego na możliwości prowadzenia komunikacji z potencjalnymi klientami. Dane osobowe są przetwarzane w celu wykonania umowy lub wykonania obowiązków prawnych wynikających z zawarcia umowy. W związku z przetwarzaniem danych osobowych przysługuje prawo do wniesienia sprzeciwu, dostępu do danych, sprostowania danych oraz ich usunięcia. | --- | Branża: IT | Produkty: Brak | Usługi: Brak;NULL;BJS_OPIS_01 10 2025_PKD
DRUKARNIA EKSPRES Z.ADAMSKA, W.ADAMSKI, Z.KACZMAREK;1812;1812;Branża: Poligrafia | Produkty: Tektura litowa, Tektura falista, Druk na lamninacie, Lakiery efektowne, Hot stamping, Tłoczenia | Usługi: Produkcja opakowań z tektury lite i kaszerowanej | --- | Branża: Drukarstwo | Produkty: Lakiery, Hot stamping, tłoczenia | Usługi: Druk na lamninacie | --- | Branża: Marketing i reklama | Produkty: Brak | Usługi: Brak | Opis: Firma zajmuje się realizowaniem prawnie uzasadnionego interesu Administratora polegającego na możliwości prowadzenia komunikacji z potencjalnymi klientami. Dane osobowe są przetwarzane w celu wykonania umowy oraz wykonania obowiązków prawnych wynikających z jej zawarcia. W przypadku wyrażenia zgody na kontakt marketingowy, dane mogą być wykorzystywane do celów marketingowych.;NULL;BJS_OPIS_01 10 2025_PKD
BINOKL - WYRÓB OPRAW OKULAROWYCH I OKULARÓW PRZECIWSŁONECZNYCH - EWA P;3250;2670Z, 2731Z, 2899Z, 3250Z, 3313Z, 3320Z;Branża: optyka | Produkty: Binokl – Producent opraw okularowych i okularów przeciwsłonecznych | Usługi: brak;NULL;BJS_OPIS_01 10 2025_PKD
ANIA ANNA CZERWONA;1071;1071Z;Branża: Optyka | Produkty: Oprawki okularowe, okulary przeciwsłoneczne | Usługi: Produkcja;NULL;BJS_OPIS_01 10 2025_PKD
PRZEDSIĘBIORSTWO WIELOBRANŻOWE HAGAT;1413;1413Z;Moroszczuk - Meble kuchenne Formularz kontaktowy PL EN DE CZ aktualności o firmie oferta galeria technologie inspiracje do pobrania E-ROZRYS rodo kontakt © 2014 Moroszczuk | ul. Mennicza 14, 43-400 Cieszyn, Tel.: +48 (33) 851 40 49, Tel./FAX: +48 (33) 851 28 57 ?Projektowanie stron Informacja o awarii × W związku z awarią sieci kontakt telefoniczny możliwy jest jedynie pod numerami: +48 33 852 92 66 +48 661 123 326 Za utrudnienia przepraszamy.;NULL;BJS_OPIS_01 10 2025_PKD
NULL;2521;NULL;produkcją kotłów parowych do celów przemysłowych.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją akumulatorów do kotłów parowych.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją skraplaczy do siłowni parowych.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją głównych elementów reaktorów jądrowych.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją kotłów na parę dla statków handlowych.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją grzejników kolumnowych do centralnego ogrzewania.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją wytwornic pary do procesów technologicznych.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją instalacji pomocniczych dla kotłów dużych mocy.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją podgrzewaczy wody zasilającej.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją skraplaczy dla turbin parowych.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją obudów ciśnieniowych reaktorów jądrowych.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją kotłów energetycznych do elektrowni węglowych.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją grzejników łazienkowych (drabinek), nieelektrycznych.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją kotłów na przegrzaną parę.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją ekonomizerów do kotłów parowych.;NULL;Dane_syntetyczne_1
NULL;2521;NULL;produkcją kolektorów pary wysokiego ciśnienia.;NULL;Dane_syntetyczne_1
MARIAN WŁODARCZYK DALIA;1414;1414Z, 4511Z, 4690Z, 4799Z, 7733Z, 7739Z;Branża: Moda | Produkty: Bielizna damska, biustonosze, majtki, body, gorsety, kostiumy kąpielowe | Usługi: Produkcja, sprzedaż detaliczna;NULL;BJS_OPIS_01 10 2025_PKD
DALIA WŁODARCZYK;1414;1414Z, 1419 , 4690Z, 4771 , 4771Z, 4799Z;Branża: Moda | Produkty: Biustonosze, Dresy | Usługi: Brak;NULL;BJS_OPIS_01 10 2025_PKD
EMV WENTYLACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;2420;2432Z, 2433Z, 2825Z;Branża: Wentylacja i klimatyzacja | Produkty: Prefabrykaty wentylacyjne | Usługi: Brak;NULL;BJS_OPIS_01 10 2025_PKD
NULL;2790;NULL;produkcją ogniw paliwowych (z wyłączeniem samochodowych).;NULL;Dane_syntetyczne_1
NULL;2790;NULL;produkcją regulowanych i nieregulowanych zasilaczy elektrycznych.;NULL;Dane_syntetyczne_1
NULL;2790;NULL;produkcją zasilaczy awaryjnych (UPS).;NULL;Dane_syntetyczne_1
NULL;2790;NULL;produkcją ochronników przeciwprzepięciowych (z wyłączeniem dla wyrównywania napięcia).;NULL;Dane_syntetyczne_1
NULL;2790;NULL;produkcją przewodów przyłączeniowych do urządzeń.;NULL;Dane_syntetyczne_1
NULL;2790;NULL;produkcją elektrod węglowych i grafitowych.;NULL;Dane_syntetyczne_1
NULL;2790;NULL;produkcją akceleratorów cząstek.;NULL;Dane_syntetyczne_1
NULL;2790;NULL;produkcją elektrycznych kondensatorów (z wyłączeniem elektronicznych).;NULL;Dane_syntetyczne_1
NULL;2790;NULL;produkcją elektromagnesów.;NULL;Dane_syntetyczne_1
"Krzysztof Faber ZAKŁAD PRODUKCJI OBUWIA ""FABER""";1520;1520Z, 4624Z;Branża: Obuwie | Produkty: obuwie męskie, obuwie skórzane | Usługi: produkcja obuwia;NULL;BJS_OPIS_01 10 2025_PKD
FIRMA BL BOŻENA LASKOWSKA;1413;9529Z;Branża: Motoryzacyjna | Produkty: Brak informacji o produktach. | Usługi: Brak informacji o usługach. | --- | Branża: Elektronika | Produkty: Brak | Usługi: Naprawa sprzętu elektronicznego, Projektowanie i realizcaja usług domowych. | --- | Branża: Dom i Ogród | Produkty: Kołdra i poduszka do łóżeczka | Usługi: Koparko Ładowarką w Krakowie: Kompleksowe Rozwiązania dla Twojego Budynku | --- | Branża: Budownictwo | Produkty: Brak informacji o produktach. | Usługi: Zabezpieczenie w budownictwie;NULL;BJS_OPIS_01 10 2025_PKD
HS LUBAŃ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;2812;2812;Branża: hydraulika siłowa | Produkty: siłowniki hydrauliczne tłokowe, siłowniki hydrauliczne nurnikowe | Usługi: naprawa siłowników lub ich regeneracja;NULL;BJS_OPIS_01 10 2025_PKD
"ZAKŁAD AKTYWNOŚCI ZAWODOWEJ  ""VICTORIA""";1812;1813Z;Branża: Opieka społeczna | Produkty: Brak | Usługi: Call Center, Poligrafia, Archiwizacja, Niszczenie i digitalizcacja dokumentów;NULL;BJS_OPIS_01 10 2025_PKD
NULL;2920;NULL;produkcją pojemników (w tym do transportu cieczy), przystosowanych do przewozu.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;produkcją podwozi do przyczep.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;produkcją nadwozi do ciężarówek.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;produkcją kabin do samochodów ciężarowych.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;produkcją naczep z otwartymi nadwoziami.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;produkcją przyczep do przewozu łodzi.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;przebudową samochodów osobowych na dostawcze.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;produkcją kontenerów morskich.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;produkcją podwozi do naczep.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;produkcją nadwozi do pojazdów komunalnych.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;produkcją nadwozi do samochodów specjalnych.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;produkcją kabin do maszyn roboczych.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;produkcją przyczep chłodni.;NULL;Dane_syntetyczne_1
NULL;2920;NULL;produkcją naczep niskopodwoziowych.;NULL;Dane_syntetyczne_1
LESZEK KUPREL;2361;2361;Branża: Budownictwo | Produkty: Kostka brukowa, Płyty, Elementy murowe, Beton towarowy | Usługi: Produkcja betonu towarowego;NULL;BJS_OPIS_01 10 2025_PKD
IZOTECHNIKA;2223;2052 , 2399Z, 4120Z, 4673Z;Branża: Budownictwo | Produkty: Brak | Usługi: Brak;NULL;BJS_OPIS_01 10 2025_PKD
CP YACHTS;3011;3012Z, 3315Z, 4690Z, 4778Z, 7734Z;Branża: Yachting | Produkty: Brak | Usługi: Brak;NULL;BJS_OPIS_01 10 2025_PKD
NULL;1814;NULL;przygotowaniem do wysyłki druków firmowych;NULL;Dane_syntetyczne_1
NULL;1814;NULL;laminowaniem dokumentów i zdjęć;NULL;Dane_syntetyczne_1
NULL;1820;NULL;reprodukcja płyt CD z muzyką z egzemplarza wzorcowego;NULL;Dane_syntetyczne_1
NULL;1820;NULL;reprodukcja filmów na nośnikach DVD;NULL;Dane_syntetyczne_1
NULL;1820;NULL;produkcja kopii płyt gramofonowych z oryginalnej matrycy;NULL;Dane_syntetyczne_1
NULL;1820;NULL;reprodukcja wideo z egzemplarza wzorcowego na taśmy;NULL;Dane_syntetyczne_1
NULL;1820;NULL;reprodukcja filmów na nośnikach Blu-Ray z oryginału;NULL;Dane_syntetyczne_1
NULL;1820;NULL;powielaniem taśm VHS z zapisem filmowym;NULL;Dane_syntetyczne_1
MARCONI  TADEUSZ ORZOŁ;1419;1412Z, 1419Z, 4642Z, 4771Z, 4791Z, 4799Z;Branża: Handel detaliczny | Produkty: Brak | Usługi: Brak;NULL;BJS_OPIS_01 10 2025_PKD
CUKIERNIA SZULC ANNA SZULC;1071;1071Z, 4724Z, 4729Z, 5610A;Branża: Szkło | Produkty: Naczynia na znicze, ręcznie formowane szklanki | Usługi: Produkcja szkła, usługi hutnicze;NULL;BJS_OPIS_01 10 2025_PKD
DREWNOTRANS  Spółka Cywilna  Jan Brzoska, Beata Brzoska, Sylwia Brzosk;1624;1624;Branża: Drewno | Produkty: Tarcica iglasta (sośnia, świerk) | Usługi: Produkcja tarcicy iglastej | --- | Branża: Usługi leśne | Produkty: Brak | Usługi: Suszenie drewna, Impregnacja drewna;NULL;BJS_OPIS_01 10 2025_PKD
NULL;1813;NULL;przygotowaniem makiet wydawniczych;NULL;Dane_syntetyczne_1
NULL;1813;NULL;reprografią ilustracji i zdjęć;NULL;Dane_syntetyczne_1
NULL;1813;NULL;przygotowaniem płyt dla druku offsetowego;NULL;Dane_syntetyczne_1
NULL;1813;NULL;konwersją tekstów i layoutów na płyty CTP;NULL;Dane_syntetyczne_1
FIRMA PAWŁOWSKI SPOŁKA CYWILNA - MARIAN PAWŁOWSKI, ANNA PAWŁOWSKA, WIE;2573;2521Z, 2573Z, 2599Z, 3020Z, 4674Z;Branża: Handel detaliczny | Produkty: Brak informacji o produktach | Usługi: Brak informacji o usługach | --- | Branża: Internet i Komputery | Produkty: Brak | Usługi: Brak | --- | Branża: Moda | Produkty: Koszule męskie, Koszule dziecięce i młodzieżowe | Usługi: Szycie koszul na zamówienie | --- | Branża: Moda | Produkty: Koszule męskie, Koszule dziecięce, Akcesoria | Usługi: Produkcja, Sprzedaż;NULL;BJS_OPIS_01 10 2025_PKD
"F.P.U.""OKIBOATS"" WOJCIECH OKIENKO";3012;2229Z, 3230Z, 4619Z, 4791Z, 4799Z;Branża: Motoryzacyjna | Produkty: Barracuda 464 Wavester, Barracuda 545 Open, Barracuda 585 DC, Barracuda 595 SD, Barracuda 686 WA | Usługi: Brak;NULL;BJS_OPIS_01 10 2025_PKD
PUNCHTECH Wojciech Jakubczak;2562;2511 , 2561 , 3312 , 3320 ;BRANŻA: Obróbka metali | PRODUKTY: Cięcie laserowe, wykrawanie mechaniczne | USŁUGI: Przetłaczanie blachy, gięcie blachy;NULL;BJS_OPIS_01 10 2025_PKD
NULL;1920;NULL;krakingiem katalitycznym ropy naftowej;NULL;Dane_syntetyczne_1
NULL;1920;NULL;hydrokrakingiem i poprawą jakości paliw;NULL;Dane_syntetyczne_1
NULL;1920;NULL;regeneracją olejów zużytych;NULL;Dane_syntetyczne_1
NULL;1920;NULL;produkcja wazeliny technicznej z ropy;NULL;Dane_syntetyczne_1
NULL;1920;NULL;produkcja parafin świecowych;NULL;Dane_syntetyczne_1
NULL;1920;NULL;odzyskiem smarów rafineryjnych;NULL;Dane_syntetyczne_1
NULL;1920;NULL;obróbką frakcji lekkiej na benzynę;NULL;Dane_syntetyczne_1
INSTAL CHEMIK E.P. S.C. EWA RAUHUT,PIOTR RAUHUT;2511;2511Z;Branża: Obróbka metali | Produkty: Brak | Usługi: Cięcie laserowe, Obróbka CNC, Spawanie, Wytrawianie/piaskowanie, Malowanie proszkowe, Projektowanie CAd | --- | Branża: Budownictwo | Produkty: Brak | Usługi: Wytrwanie, lakierowanie proszkowe, komputerowe wspomagannie projektowania (CAD), przygotowanie powierzchni do malowania proszkowego | --- | Branża: Chemia budowlana | Produkty: Farby, lakiery | Usługi: Instalacje sanitarne i grzewcze | --- | Branża: Budownictwo | Produkty: Brak | Usługi: Obróbka plastyczna, obróbka skrawaniem, wykrawanie, cięcie blachy, cięcia laserowe i lakierowanie proszku. | Współpraca z firmą Famot-Pleszew S.A. zaowocowała nowymi zleceniami na obrabiarki sterowane numerycznie. | --- | Branża: Obróbka metali | Produkty: Brak | Usługi: Cięcie laserowe, Obróbka CNC, Ginięcie blachy, Spawanie, Wytrawianie | --- | Branża: Chemiczna | Produkty: Brak | Usługi: Brak;NULL;BJS_OPIS_01 10 2025_PKD
"""GPT STAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";2433;2433;gptstal.pl - NA SPRZEDAŻ Ta domena jest na sprzedaż gptstal.pl Cena TYLKO 1299.00 PLN netto Zamów ddregistrar.pl bok@ddregistrar.pl (+48) 22 211 22 90 Przechwytuj domeny za 29 PLN netto;NULL;BJS_OPIS_01 10 2025_PKD
NULL;2051;NULL;produkcja biopaliw płynnych z odpadów spożywczych;NULL;Dane_syntetyczne_1
NULL;2051;NULL;produkcja biopaliw z oleju rzepakowego;NULL;Dane_syntetyczne_1
NULL;2051;NULL;fermentacją biomasy do celów paliwowych;NULL;Dane_syntetyczne_1
NULL;2051;NULL;produkcja biodiesla z użytych olejów roślinnych;NULL;Dane_syntetyczne_1
NULL;2051;NULL;produkcja etanolu z biomasy celulozowej;NULL;Dane_syntetyczne_1
NULL;2051;NULL;produkcja mieszanek bioetanolu z eterami;NULL;Dane_syntetyczne_1
NULL;2051;NULL;odzyskiwaniem surowców do produkcji biopaliw;NULL;Dane_syntetyczne_1
NULL;2051;NULL;przetwarzaniem odpadów organicznych na biodiesel;NULL;Dane_syntetyczne_1
NULL;2051;NULL;destylacją bioetanolu na paliwo transportowe;NULL;Dane_syntetyczne_1
NULL;2051;NULL;produkcja bio-ropy z resztek roślinnych;NULL;Dane_syntetyczne_1
NULL;2051;NULL;wytwarzaniem paliw ciekłych z biomasy lignocelulozowej;NULL;Dane_syntetyczne_1
NULL;2051;NULL;produkcja biopaliw z tłuszczów zwierzęcych;NULL;Dane_syntetyczne_1
NULL;2051;NULL;produkcja biopaliw z oleju sojowego;NULL;Dane_syntetyczne_1
INSTAL CHEMIK EWA S.C. EWA RAUHUT,JACEK RAUHUT;2511;2511Z;Branża: Obróbka metali | Produkty: Brak | Usługi: Cięcie laserowe, Obróbka CNC, Ginięcie blachy, Spawanie, Wytrawianie, Lakierowanie proszku, Projektowanie CAd | --- | Branża: Chemiczna | Produkty: Farby, lakiery | Usługi: Brak | --- | Branża: Budownictwo | Produkty: Brak | Usługi: Cięcie laserowe, Obróbka CNC, Ginięcie blachy, Spawanie, Wytrawianie, Lakierowanie proszku, Projektowanie CAd, Instalacje sanitarne, grzewcze i wentylacyjne | --- | Branża: Chemiczna | Produkty: Brak | Usługi: Brak | --- | Branża: Budownictwo | Produkty: Brak | Usługi: Cięcie laserowe, Obróbka CNC, Ginięcie blachy, Spawanie, Wytrawianie;NULL;BJS_OPIS_01 10 2025_PKD
NULL;2060;NULL;wytwarzaniem syntetycznych włókien do odzieży sportowej;NULL;Dane_syntetyczne_1
NULL;2060;NULL;produkcja ciętych włókien polipropylenowych;NULL;Dane_syntetyczne_1
NULL;2060;NULL;produkcja przędzy pojedynczej o wysokim module sprężystości;NULL;Dane_syntetyczne_1
NULL;2060;NULL;wytwarzaniem włókien syntetycznych dla rolnictwa;NULL;Dane_syntetyczne_1
NULL;2060;NULL;produkcja ciągłych włókien sztucznych dla przemysłu;NULL;Dane_syntetyczne_1
NULL;2060;NULL;wytwarzaniem pasm włókien syntetycznych;NULL;Dane_syntetyczne_1
NULL;2060;NULL;produkcja włókien chemicznych z tworzyw sztucznych;NULL;Dane_syntetyczne_1
NULL;2060;NULL;produkcja włókien ciętych niezgrzeblonych;NULL;Dane_syntetyczne_1
NULL;2060;NULL;wytwarzaniem przędzy sztucznej do lin żeglarskich;NULL;Dane_syntetyczne_1
NULL;2060;NULL;produkcja syntetycznych włókien do produkcji sieci;NULL;Dane_syntetyczne_1
NULL;2060;NULL;produkcja włókien ciągłych do włóknin;NULL;Dane_syntetyczne_1
NULL;2060;NULL;wytwarzaniem włókien ciętych do kompozytów;NULL;Dane_syntetyczne_1
NULL;2060;NULL;produkcja przędzy pojedynczej na potrzeby techniczne;NULL;Dane_syntetyczne_1
NULL;2060;NULL;produkcja włókien chemicznych z odzyskanego poliestru;NULL;Dane_syntetyczne_1
NULL;2060;NULL;wytwarzaniem sztucznych włókien do poduszek powietrznych;NULL;Dane_syntetyczne_1
Małgorzata Pakuła METALMODA;2454;2454B, 2562Z, 2599 , 4672Z, 4690Z;Branża: Internet i Komputery | Produkty: Brak | Usługi: Brak;NULL;BJS_OPIS_01 10 2025_PKD
NULL;2120;NULL;produkcja testów diagnostycznych in vitro;NULL;Dane_syntetyczne_1
NULL;2120;NULL;produkcja testów ciążowych;NULL;Dane_syntetyczne_1
NULL;2120;NULL;produkcja farmaceutyków dla kardiologii;NULL;Dane_syntetyczne_1
NULL;2120;NULL;produkcja specjalistycznych opatrunków nasączonych lekami;NULL;Dane_syntetyczne_1
"F.H.P.U. ""PACK-MAR"" MARCIN MARECKI";1721;4649Z, 4941Z;Branża: Papierowa i opakowania | Produkty: Torby papierosowe, torby fałdowe, torby krzyżowe, papier pakowy | Usługi: Produkcja toreb papierosnych;NULL;BJS_OPIS_01 10 2025_PKD
