,kod_pkd,opis,labels
18135,1071,produkcja ciastek na bazie mąki gryczanej,13
7770,2821,produkcją urządzeń wentylacyjnych użytku domowego (z wyłączeniem wentylatorów elektrycznych).,205
3961,2932,produkcją felg aluminiowych.,226
57605,3013,firma zajmuje się produkcją małych okrętów podwodnych.,229
80432,1396,"produkcja, zakup i sprzedaż żagli, takielunków i innego sprzętu do żagli/olinowania, w tym uczestnictwo w innych spółkach o podobnej działalności oraz posiadanie i zarządzanie nieruchomościami, papierami wartościowymi i innymi aktywami.",41
58880,1812,firma zajmuje się drukowaniem dekoracyjnych elementów papierowych,81
16509,1042,produkcja margaryny naturalnej,8
97336,1813,"wykańczanie graficzne, składanie, wycinanie, introligatorstwo.",82
56317,2841,firma zajmuje się produkcją maszyn do obróbki drutu.,212
81605,2511,prowadzenie warsztatu kowalskiego i mechanicznego.,158
95499,1812,"rozpowszechnianie materiałów drukowanych, w tym udział w innych spółkach.",81
48631,1711,"firma zajmuje się nowoczesnym, chemicznym rozwłóknianiem drewna",72
101535,2221,produkcja i sprzedaż hurtowa odlewów żywicznych.,107
607,2320,produkcja materiałów ogniotrwałych do wyłożenia pieców hutniczych,120
97750,1511,produkcja wyrobów skórzanych na rynek prywatny.,57
67107,2224,firma zajmuje się produkcja paneli dekoracyjnych z tworzyw,110
27731,2351,produkcja cementów do budownictwa ekologicznego,129
2839,2522,produkcją metalowych zbiorników do gazu lpg.,161
26809,2910,produkcją samochodów rajdowych.,223
89738,2553,kupno i sprzedaż stali i wyrobów pokrewnych oraz działalność z tym związana.,168
1709,3099,produkcją sanek drewnianych ze wzmocnieniem metalowym.,237
85942,1623,warsztat stolarski. gleba - leśnictwo - masowy żwir dachowy.,65
32339,1081,firma zajmuje się pakowaniem cukru w worki,16
100063,1011,"ubój, skup i sprzedaż mięsa i wieprzowiny, świadczenie podobnych usług i co z tym związane.",0
101999,1629,sprzedaż drewna opałowego itp. kopanie koparką.,71
5629,3319,naprawą automatów typu jednoręki bandyta.,260
82402,1812,"handel detaliczny artykułami ogólnymi stosowanymi lub przystosowanymi do stosowania, drukowania lub innego profilowania. przykładami są artykuły reklamowe dla firm itp.",81
17070,1910,brykietowaniem koksu węglowego,85
83861,1020,odbiór i ubój ryb i produktów rybnych wykorzystywanych do produkcji owoców morza. przetwarzanie i konserwacja ryb i produktów rybnych stosowanych w produkcji owoców morza.,3
28926,2366,firma zajmuje się produkcja ozdobnych płyt z gipsu laminowanego,136
47115,1622,firma zajmuje się wytwarzaniem klepek parkietowych z merbau,64
23879,2731,produkcją kabli światłowodowych do sieci lan.,193
6349,1102,mieszaniem win czerwonych i białych,26
275,1089,produkcja suplementów diety wspierających zdrowie oczu,22
30635,1012,firma zajmuje się przygotowaniem schłodzonego mięsa z gęsi,1
16025,1041,produkcja olejów do celów technicznych i przemysłowych,7
90688,1083,"przetwórstwo herbaty i kawy obejmuje produkcję kawy bezkofeinowej oraz palenie kawy, produkcję wyrobów kawowych: kawy mielonej, kawy rozpuszczalnej, ekstraktów kawy i koncentratów kawy, produkcję substytutów kawy, mieszanie herbaty i mate oraz produkcję e",18
109280,2892,"od 1991 roku o firmie oferta przemysł wydobywczy konstrukcje stalowe usługi specjalistyczne referencje kontakt pl en ru łożyska i urządzenia dylatacyjne więcej produkcja dedykowanych elementów więcej remonty maszyn, obróbka metali więcej wózki hamulcowe i transportowe więcej zobacz film reklamowy wybierz obszar działalności: przemysł wydobywczy infrastruktura drogowa konstrukcje stalowe usługi specjalistyczne polski producent innowacyjnych rozwiązań dla przemysłu od 1991 roku dostarczamy maszyny",216
23030,1626,fabrykacją pelletu kotłowego,68
68852,2344,firma zajmuje się produkcja ceramicznych wyrobów dla medycyny,126
10921,1424,produkcja designerskich wyrobów futrzarskich,53
100931,2572,"nabywanie i zarządzanie udziałami właścicielskimi w innych spółkach, posiadanie i zarządzanie nieruchomościami oraz inna działalność wpisana w sposób naturalny w te obszary.",173
45,1413,"branża: motoryzacyjna | produkty: brak informacji o produktach. | usługi: brak informacji o usługach. | --- | branża: elektronika | produkty: brak | usługi: naprawa sprzętu elektronicznego, projektowanie i realizcaja usług domowych. | --- | branża: dom i ogród | produkty: kołdra i poduszka do łóżeczka | usługi: koparko ładowarką w krakowie: kompleksowe rozwiązania dla twojego budynku | --- | branża: budownictwo | produkty: brak informacji o produktach. | usługi: zabezpieczenie w budownictwie",46
79217,1625,"produkcja drzwi, okien, schodów, kuchni - i specjalnie przystosowanych okuć z drewna, renowacja okien, drzwi, wnętrz, architekt wnętrz, usługi projektowania i doradztwa wnętrz.",67
95447,1020,"przetwarzanie i konserwacja ryb, mięczaków i skorupiaków oraz skup i sprzedaż ryb.",3
60194,2211,firma zajmuje się produkcja gumowych opon do sprzętu budowlanego,104
74064,3211,firma zajmuje się produkcją monet z metali szlachetnych.,243
3247,2222,"branża: opakowania dla przemysłu mięsnego | produkty: siatki do wędlin nomanet, osłonki tekstylne viscoflex ®, osłonki z przyprawami spatex ® | usługi: brak",108
74012,3100,firma zajmuje się produkcją krzeseł składanych do sal konferencyjnych.,238
7331,2120,produkcja hormonów i preparatów antykoncepcyjnych doustnych,103
78229,3299,"kupno, sprzedaż, inwestowanie w udziały w nieruchomościach i inne pary wartości oraz działalność z tym związana.",251
105430,1419,sprzedaż ręcznie robionej odzieży dziecięcej oraz sprzedaż tekstyliów.,48
96441,1071,"cukiernik: pieczenie, dekorowanie ciast i tym podobne.",13
21612,1612,frezowaniem profili konstrukcyjnych,62
22141,1624,produkcja kadzi kwasoodpornych drewnianych,66
81297,1812,"produkcja druków i co się z tym wiąże, w tym uczestnictwo w innych firmach o podobnej działalności.",81
32909,1089,firma zajmuje się produkcja klopsów roślinnych,22
96825,2931,działalność warsztatowa.,225
85806,2341,warsztaty garncarskie ze sprzedażą wyrobów własnych. wokalista.,123
56453,2891,firma zajmuje się produkcją walców do walcarek na zimno.,215
73036,1724,produkcja winylowych tapet na papierze dla sektorów medycznych,77
5494,1089,produkcja roślinnych zamienników sera żółtego,22
15932,1041,produkcja olejów biodegradowalnych,7
21623,1612,suszeniem drewna egzotycznego w piecach,62
25352,2910,produkcją silników do zamiatarek drogowych.,223
79547,1625,"produkcja i sprzedaż wyrobów stolarskich i co z tym związane, a także poprzez obejmowanie udziałów lub w inny sposób zainteresowanie przedsięwzięciami gospodarczymi.",67
55562,2751,firma zajmuje się produkcją elektrycznych żelazek parowych.,197
13533,2224,produkcja podłóg i płytek winylowych designerskich,110
82293,2630,"rozwój, produkcja, sprzedaż i montaż sprzętu audio.",183
20417,1622,fabrykacją bloków parkietowych rustykalnych,64
48018,1627,firma zajmuje się powlekaniem konstrukcji drewnianych,69
67886,2331,firma zajmuje się produkcja ceramicznych dekorów kaflowych,121
93585,2226,"dostawa towarów i usług, w tym w zakresie produkcji i eksploatacji prototypów 3-dprint, a także prowadzenie innych działań, które w naturalny sposób się z tym wiążą, w tym uczestnictwo w innych spółkach o podobnej działalności.",112
82738,1071,produkcja artykułów spożywczych.,13
86590,1413,"skip to content home about us our services empowering communities operations sustainability contact us about us where energy meets excellence. fueling progress, powering innovation, let’s partner. vito spółka z o. o. has been a trusted energy partner since 2019. our evolution to a state-of-the-art facility reflects our commitment to innovation, quality, and sustainability. we are proud to serve as a key contributor to poland’s energy security and a model for responsible industrial practices. our",46
78893,1626,"produkcja drewna. sprzątanie i prace na świeżym powietrzu dla osób prywatnych. mycie elewacji. sprzątanie łodzi. usługi opiekunki, rynek prywatny.",68
55682,2790,firma zajmuje się produkcją akceleratorów liniowych.,199
98508,1413,produkcja szerokiej gamy wyrobów wierzchnich.,46
21303,1812,drukowaniem kalendarzy adwentowych,81
97467,2341,"uprawa i analiza pszenicy arktycznej, sprzedaż i produkcja urn do pochówku chrześcijańskiego.",123
11099,3312,"branża: ochrona zdrowia | produkty: aparyty powietrzne i maski stacjonarne, systemy detekcji gazu i płomienia, mierzeniki przenośne, ochrona głowy | usługi: serwis stacjonarny i mobilny",253
25542,2561,"branża: obróbka cieplna metali | produkty: piece do obróbki cieplnej (arc-heat 40-t6), piece stacjonarne, urządzenia do miejscowej obróbki cieplnej | usługi: obróbka cieplna metali, wynajem pieców i urządzeń do obróbki cieplnej",169
83683,1623,"wszechstronna działalność polegająca na produkcji ogrodzeń, bram i akcesoriów, a także stolarki otworowej. dodatkowo firma będzie prowadzić wypożyczalnię sprzętu zabezpieczającego do nart.",65
30031,2391,firma zajmuje się wytwarzaniem osełek do ostrzenia narzędzi stolarskich.,140
86210,1051,"produkcja artykułów spożywczych dla gospodarstw rolnych. przetwórstwo mięsa i wieprzowiny, owoców i jagód. wypieki.",9
24319,1089,produkcja roślinnych substytutów nabiału naturalnego,22
17615,1061,produkcja mąki o specjalnych właściwościach,11
110401,3109,"strefa klienta strefa dostawcy oferty pracy blog katalog o nas oferta kontakt dekoracje kreatywność pozwala popełniać błędy. design wie, które z nich zachować – scott adams 12345 o nas fabryka mebli z długoletnią tradycją. dzięki sensownemu zarządzaniu i dobrych relacjach osiągnęliśmy efekty zapewniające ciągły, zrównoważony rozwój. nowoczesne technologie pozwalają na nieustanne poszerzanie oferty oraz dbałość o najwyższą jakość produktów. nasze meble cieszą się zainteresowaniem na polskim i świ",242
9691,1395,produkcja włóknin dla przemysłu samochodowego,40
81147,2611,rozwój i produkcja komponentów elektronicznych do automatyzacji łodzi i samochodów.,180
59529,1920,firma zajmuje się wytwarzaniem smarów przekładniowych,86
94393,3109,produkcja mebli i wyposażenia.,242
21048,2442,produkcją sztab aluminiowych dla przemysłu lotniczego.,149
12176,2225,obróbką plastyczną tworzyw sztucznych,111
47963,1626,firma zajmuje się fabrykacją pelletu w workach 15 kg,68
24652,2454,produkcją odlewów z brązu do zastosowań technicznych.,157
19766,2420,produkcją spawanych rur precyzyjnych formowanych na gorąco.,143
60124,2120,firma zajmuje się wytwarzaniem hormonalnych terapii zastępczych,103
32315,1073,firma zajmuje się produkcja pierogów smakowych,15
104544,2899,opracowywanie i budowa kompletnych instalacji do produkcji wodoru.,222
15979,2370,produkcją nagrobków z motywami motoryzacji,138
29674,2399,firma zajmuje się produkcją wyrobów z różnych substancji mineralnych do zastosowań przemysłu zegarmistrzowskiego.,141
67552,2226,firma zajmuje się produkcja organizerów biurowych z plastiku,112
88436,1013,"produkcja i sprzedaż wyrobów mięsnych. takie jak kiełbasa peklowana, boczek i inne produkty mięsne. sprzedaż odbywa się głównie za pośrednictwem sieci handlowych, ale także w niewielkich placówkach własnych.",2
40091,1396,firma zajmuje się produkcja taśm technicznych,41
15752,2841,produkcją młotów pneumatycznych (kuźniarek).,212
73764,3040,firma zajmuje się produkcją czołgów ciężkich.,234
77844,2015,"produkcja nawozów, związków azotu i gleby uprawnej.",91
44465,2511,"firma zajmuje się produkcją prefabrykowanych budynków, głównie z metalu.",158
21403,2660,produkcją aparatury do sztucznego oddychania.,187
27223,2343,produkcja ceramicznych osłon izolacyjnych do przewodów,125
93429,1512,"praca rymarza. import samochodów i części samochodowych. wszystko, począwszy od wnętrz samochodów i łodzi. daszki i kabriolety. markizy i rolety. należy uwzględnić obszary, które w sposób naturalny do nich należą.",58
15548,2370,wykonywaniem inskrypcji na kamieniu nagrobnym,138
47055,1625,firma zajmuje się wytwarzaniem ościeżnic impregnowanych,67
30173,2399,"firma zajmuje się produkcją materiałów ciernych na bazie celulozy, w postaci wstęg.",141
110186,1396,"przejdź do treści o firmie wszywki żakardowe oferta branże technologie certyfikaty aktualności kontakt nasza oferta: w stałej ofercie posiadamy taśmy, sznurki, sznurowadła, taśmy i gumy żakardowe, taśmy techniczne i specjalistyczne, artykuły kaletnicze. szczególną uwagę zwracamy na materiały i komponenty używane do wyrobu bardzo wymagających produktów dla branży medycznej oraz dla dzieci. wszywki żakardowe odpowiadamy na potrzeby klientów dostosowując projekt wszywki do twoich indywidualnych pot",41
12271,2592,produkcją zamknięć metalowych do opakowań.,176
17856,1910,produkcja koksu dla przemysłu chemicznego i metalurgicznego,85
87576,2511,"strona główna o firmie produkty nasz zakład kontakt polityka prywatności lux stal - producent siatek zgrzewanych, półek siatkowych i palet stalowych lux-stal s.c. to przedsiębiorstwo wyposażone w nowoczesne maszyny, zatrudniające sprawdzoną, wysoko wykwalifikowaną kadrę techniczną, która posiada doświadczenie i wiedzę w zakresie produkcji wyrobów stalowych oraz siatek zgrzewanych z drutu. dzięki temu nasza firma jest gwarantem wysokiej jakości wyrobów i usług. stosowane technologie umożliwiają w",158
67783,2331,firma zajmuje się produkcja płytek klinkierowych (nie ogniotrwałych),121
10386,1399,produkcja luksusowych firan koronkowych,42
17671,2391,"wytwarzaniem ziaren ściernych na podłożu z włókien szklanych (pokrycie, nie włókna budowlane).",140
58060,1725,firma zajmuje się wytwarzaniem kart żakardowych dla maszyn włókienniczych,78
38858,1104,firma zajmuje się produkcja win aromatyzowanych na eksport,28
55690,2790,firma zajmuje się produkcją elektrycznych narzędzi do lutowania ręcznego.,199
91422,2551,udział w spółkach i przedsiębiorstwach i wszystko z tym związane.,166
111092,2319,wersje językowe 512680690 o firmie o firmie über uns about us ? ???????? aktualności oferta produkty bombki gładkie bombki graficzne bombki obrazkowe bombki kształtki bombki z logo firmy systemy pakowania wycieczki i warsztaty wycieczki i warsztaty gwiazdka wycieczki i warsztaty wielkanoc warsztaty bożonarodzeniowe warsztaty okazjonalne warsztaty pszczelarskie wielkanocne warsztaty warsztaty bolesław chrobry rodzinne wycieczki i warsztaty - małe grupy kontakt ochrona małoletnich nasze produkty b,119
40950,1621,firma zajmuje się tworzeniem płyt pilśniowych do dekoracji,63
47474,1612,firma zajmuje się suszeniem drewna wysokotemperaturowym,62
91072,1421,produkcja pozostałej odzieży wierzchniej. szwalnia/usługi krawieckie.,50
67756,2344,firma zajmuje się produkcja ceramicznych tulei i przewodów technicznych,126
17294,2390,wytwarzaniem komponentów ściernych i specjalistycznych surowców mineralnych.,139
15323,2365,produkcja płyt celulozowo-cementowych do elewacji wentylowanych,135
103190,1413,"produkcja i sprzedaż artykułów hobbystycznych, bunad i stosów pasków. doradztwo.",46
18660,2620,produkcją drukarek atramentowych.,182
90538,2553,"pozostałe zarządzanie papierami wartościowymi, niefinansowe spółki holdingowe.",168
68748,2344,firma zajmuje się produkcja ceramicznych sit filtracyjnych,126
100966,3012,"produkcja łodzi, zakup i sprzedaż łodzi, wyposażenia łodzi i innego sprzętu rekreacyjnego, naprawa i konserwacja łodzi oraz udział w innej działalności poprzez inwestycje.",228
59915,2060,firma zajmuje się produkcja włókien poliakrylowych,101
44281,2454,firma zajmuje się odlewnictwem stopów cynku do elementów obudów.,157
87595,1071,"przejdź do treści home aktualności o nas lody torty piekarnia cukiernia kontakt o nas kilka słów o nas.. działamy od ponad 30 lat historia firmy: początek działalności firmy to rok 1989, kiedy produkcja prowadzona była w małej piekarni przy ul. głównej. w 1990 r. uruchomiliśmy piekarnię w świebodzicach przy ul. bp krasickiego. działaliśmy tak do 2001 roku, w którym rozpoczęliśmy produkcję w adoptowanych z magazynów budynkach przy ul. okrężnej 32, w świdnicy. firma trzykrotnie została wyróżniona",13
80692,3240,"projektuj, publikuj i sprzedawaj zaprojektowane przez nas gry planszowe.",248
18468,2432,produkcją cienkich blach walcowanych na zimno.,145
109897,2363,"niniejsza strona korzysta z plików cookie wykorzystujemy pliki cookie do spersonalizowania treści i reklam, aby oferować funkcje społecznościowe i analizować ruch w naszej witrynie. informacje o tym, jak korzystasz z naszej witryny, udostępniamy partnerom społecznościowym, reklamowym i analitycznym. partnerzy mogą połączyć te informacje z innymi danymi otrzymanymi od ciebie lub uzyskanymi podczas korzystania z ich usług. zapoznaj się z polityką prywatności. pokaż szczegóły zaakceptuj wszystkie c",133
25443,2740,produkcją reflektorów scenicznych.,196
104852,3109,"produkcja i sprzedaż mebli, wyrobów z drewna itp. oraz wszystko z tym związane, w tym pośrednictwo, subskrypcja/zakup udziałów oraz udział w innej działalności.",242
5427,3318,naprawą i konserwacją wojskowych pojazdów bojowych (np. czołgów).,259
110378,1629,"strona korzysta z plików cookies w celu realizacji usług i zgodnie z polityką plików cookies. możesz określić warunki przechowywania lub dostępu do plików cookies w twojej przeglądarce. zarejestruj się zaloguj się menu home promocje nowości o nas kontakt jesteś w: » o nas o nas sydesign - czyli rodzeństwo kasia, magda, michał i mateusz. jesteśmy rodzinną firmą z tradycjami założoną w 1932 przez naszego dziadka rudolfa. nasz nowy projekt sydesign powstał z miłości do dobrego projektowania. pragni",71
7514,1820,reprodukcja nośników cd dla sektora it,84
1832,3099,produkcją furgonów ciągnionych przez konie.,237
13475,2362,produkcja prefabrykatów gipsowych dla budownictwa,132
22212,2444,produkcją taśm z brązu.,151
96977,2120,"produkcja i sprzedaż superfoods, czyli białek pochodzenia roślinnego i zwierzęcego, witamin i minerałów. rady dla osób na temat sportu i odżywiania.",103
73988,3100,firma zajmuje się produkcją komód do sypialni.,238
49247,1724,firma zajmuje się produkcja tapet papierowych minimalistycznych,77
82655,2363,"podejmowanie działalności budowlanej, produkcja i sprzedaż betonu i wyrobów betonowych, wydobywanie żwiru i kamienia, działalność najmu i inna działalność z tym związana.",133
74733,3100,"firma zajmuje się produkcją mebli (sypialnianych, salonowych).",238
44063,2452,firma zajmuje się produkcją odlewów ze staliwa węglowego dla kolejnictwa.,155
9450,3316,konserwacją systemów sterowania lotem w cywilnych samolotach.,257
109648,1013,"cenimy prywatność użytkowników używamy plików cookie, aby poprawić jakość przeglądania, wyświetlać reklamy lub treści dostosowane do indywidualnych potrzeb użytkowników oraz analizować ruch na stronie. kliknięcie przycisku „akceptuj wszystkie” oznacza zgodę na wykorzystywanie przez nas plików cookie. dostosuj odrzuć wszystkie akceptuj wszystko przewiń do zawartości zakład masarski - antoni wojnicki, 32-820 szczurowa, ul. krakowska 109a o firmie regulamin polityka zwrotów polityka prywatności str",2
40362,1410,firma zajmuje się produkcja szortów plażowych dzianych,43
184,2212,produkcja gumowych kombinezonów ochronnych,105
57290,2931,firma zajmuje się produkcją zespołów kabli stosowanych w motoryzacji.,225
84624,1421,"sprzedaż odzieży domowej roboty i artykułów wyposażenia wnętrz, naprawa i szycie odzieży i sprzętu.",50
3115,2931,produkcją ogniw paliwowych do autobusów.,225
55946,2814,firma zajmuje się produkcją kurków do urządzeń chłodniczych.,203
103782,1392,produkcja i sprzedaż wyrobów plandekowych,37
44310,2454,firma zajmuje się produkcją odlewów ze stopów cynku dla urządzeń agd.,157
11998,2225,metalizowaniem części plastikowych,111
22418,2670,produkcją kamer termowizyjnych (optyka).,188
97223,2562,"spawanie, różne prace metalowe.",170
12985,1621,produkcja osb do dachów,63
30126,2399,firma zajmuje się wytwarzaniem wyrobów z grafitu do zastosowań niestandardowych (z wyłączeniem uszczelek).,141
107438,3212,"produkcja i sprzedaż biżuterii i ozdób z metali szlachetnych, a także innego rękodzieła, takiego jak wyroby dziewiarskie i szydełkowane.",244
23882,2731,produkcją kabli optycznych do transmisji sygnału.,193
94369,2599,"produkcja wyrobów metalowych, urządzeń dźwigowych i przeładunkowych do statków i łodzi. produkcja silników i turbin, z wyłączeniem silników lotniczych.",179
67145,2224,firma zajmuje się produkcja lekkich paneli dekoracyjnych pcv,110
82936,3250,produkcja i sprzedaż medycznego sprzętu technicznego,249
18587,2892,produkcją mieszarek do mas mineralnych i bitumów.,216
77919,3100,"rozwój, produkcja i sprzedaż wyrobów meblowych, handel towarami i działalność pokrewna, w tym uczestnictwo w innych spółkach o podobnej działalności.",238
67604,2320,firma zajmuje się produkcja cegieł chromitowych ogniotrwałych,120
41249,1621,firma zajmuje się impregnacją sklejki na ogień,63
227,1081,produkcja cukru z trzciny organicznej,16
21632,1624,wytwarzaniem palet skrzyniowych z drewna,66
47019,1621,firma zajmuje się produkcja drewna klejonego do sufitów,63
104021,1413,szyjemy nową odzież oraz naprawiamy/odszywamy stare ubrania dla klientów prywatnych i biznesowych.,46
6442,2552,głębokim zamrażaniem w celu stabilizacji wymiarów.,167
33276,1102,firma zajmuje się wytwarzaniem win z wyselekcjonowanych winogron,26
105589,2562,wynajem profesjonalnego personelu w zakresie ndt/spawalnictwa/inżynierii.,170
5384,3315,naprawą holowników (cywilnych).,256
84304,2811,"warsztat mechaniczny, naprawy, konserwacja, przebudowa i automatyzacja elektrowni wodnych i innych gałęzi przemysłu, pozostała działalność z nimi związana, a także posiadanie udziałów i udziałów w innych spółkach.",200
31858,1052,firma zajmuje się produkcja sorbetów,10
13476,2362,produkcja paneli ściennych z gipsu,132
20622,1622,fabrykacją desek parkietowych z drewna europejskiego,64
10812,1423,produkcja mundurów policyjnych,52
28536,2363,firma zajmuje się produkcja betonu drogowego,133
9646,1393,produkcja wykładzin biurowych,38
25469,1712,przemysłową produkcja papierów i tektur surowych,73
58610,1811,firma zajmuje się drukowaniem biuletynów informacyjnych wychodzących codziennie,80
1189,1013,produkcja rillettes z mięsa z dzika,2
31773,1051,firma zajmuje się produkcja masła hurtową,9
90219,1013,inwestycje w akcje i inne papiery wartościowe oraz co się z tym naturalnie wiąże.,2
42549,2223,produkcja elementów okiennic plastikowych,109
5276,1089,produkcja roślinnego mielonego z grochu,22
22404,2445,produkcją kształtowników i drutu z niklu.,152
19367,2434,produkcją drutu stalowego galwanizowanego.,147
83484,1071,produkcja i sprzedaż pieczywa oraz świeżych wyrobów cukierniczych.,13
94320,2562,"projektowanie, produkcja i sprzedaż wyrobów automatycznych i toczonych rewolwerowo oraz podobnej częściowej produkcji.",170
40623,1429,firma zajmuje się produkcja kapeluszy bawełnianych,54
106313,2822,"produkcja czegoś, co nazywa się smart winch. własny wynalazek.",206
88728,2224,"przedmiotem samej działalności spółki, poprzez spółki będące jej 100% lub częściową własnością lub poprzez współpracę z innymi spółkami, jest podejmowanie działalności inwestycyjnej, w tym inwestowanie w akcje, obligacje, akcje spółek, działalność pożyczk",110
81615,1611,"inwestuje w spółki zajmujące się przetwórstwem drewna, produkcją i sprzedażą garaży, handlem materiałami budowlanymi, renowacją, dobudówkami i budową domów, domków letniskowych i garaży. zajmuje się działalnością deweloperską oraz sprzedażą/wynajem gruntó",61
43917,2446,firma zajmuje się wytapianiem i rafinacją uranu o niskim stopniu wzbogacenia.,153
12542,1814,zszywaniem dużych katalogów hurtowych,83
107831,2059,"produkcja i sprzedaż wyrobów przemysłowych, a także biznes, który ma z tym naturalny związek.",100
31024,1020,firma zajmuje się produkcja namiastek kawioru z pstrąga tęczowego,3
4331,1082,pakowaniem orzechów w czekoladzie na sprzedaż,17
30893,1013,firma zajmuje się produkcja salami eksportowych,2
55012,2660,firma zajmuje się produkcją systemów pet/ct.,187
24204,2060,wytwarzaniem sztucznych włókien ciętych do wypełnień,101
49399,1724,firma zajmuje się wytwarzaniem tapet papierowych dla sklepów wielkopowierzchniowych,77
30480,2431,firma zajmuje się produkcją sztab ciągnionych na zimno do produkcji cylindrów.,144
28468,2363,firma zajmuje się produkcja betonu towarowego do zbrojeń,133
3789,2931,produkcją izolowanych zestawów przewodów do poduszek powietrznych.,225
7098,1089,"produkcja roślinnych produktów typu ""boczek""",22
87745,1039,"ta strona wykorzystuje pliki cookies zgodnie z ustawieniami twojej przeglądarki. więcej informacji o celu ich wykorzystania i możliwości zmiany ustawień cookies znajdziesz w polityce cookies. nie pokazuj więcej tego komunikatu tradycyjne produkty / youtube / facebook projekty aktualności dobre produkty europejskie systemy jakości krajowe systemy jakości galeria przepisy lokalne, regionalne i tradycyjne szansą dla kół gospodyń wiejskich dowiedz się więcej produkty lokalne, regionalne i tradycyjne",6
84156,1310,"przędzarnia zajmująca się skupem lokalnej wełny z regionu lista, praniem, kartami, filcami oraz przędzeniem przędzy i wyrobów na sprzedaż, a także prowadzi wypożyczalnię przędzalni.",33
40092,1396,firma zajmuje się produkcja taśm przemysłowych bez wątku,41
24681,1520,branża: obuwie | produkty: obuwie trekkingowe | usługi: brak,59
83970,1611,"wynajem szop, cięcie materiałów na sprzedaż, produkcja klinów.",61
6978,1105,produkcja piw sezonowych,29
101565,1414,produkcja bielizny/strojów kąpielowych blumma. sklep internetowy.,47
10299,2720,produkcją baterii do lamp błyskowych.,192
25493,2511,produkcją kratownic dla dużych obiektów inżynierskich.,158
90677,2829,"produkcja maszyn i urządzeń, usługi montażowe i serwisowe.",210
9117,2561,produkcją noży do sera.,169
22768,1626,wytwarzaniem pelletu z odpadów tartacznych,68
41938,2211,produkcja dętek przemysłowych,104
47284,1623,firma zajmuje się produkcja podłóg prefabrykowanych drewnianych,65
28523,2363,firma zajmuje się produkcja masy betonowej o dużej wytrzymałości na ściskanie,133
47575,1612,firma zajmuje się szlifowaniem paneli elewacyjnych drewnianych,62
